UtilityCaptive,State,Sector,EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
UTILITY,DELHI,CENTRAL,COAL,NON-RENEWABLE,2019,1400.33,38.67
UTILITY,DELHI,STATE,NATURAL GAS,NON-RENEWABLE,2019,5735.71,0
UTILITY,HARYANA,CENTRAL,COAL,NON-RENEWABLE,2019,7387.28,56.22
UTILITY,HARYANA,CENTRAL,NATURAL GAS,NON-RENEWABLE,2019,597.09,0
UTILITY,HARYANA,PRIVATE,COAL,NON-RENEWABLE,2019,6898.35,59.66
UTILITY,HARYANA,STATE,COAL,NON-RENEWABLE,2019,10552.71,44.29
UTILITY,HIMACHAL PRADESH,CENTRAL,HYDRO,NON-RENEWABLE,2019,26337.86,0
UTILITY,HIMACHAL PRADESH,PRIVATE,HYDRO,NON-RENEWABLE,2019,6921.96,0
UTILITY,HIMACHAL PRADESH,STATE,HYDRO,NON-RENEWABLE,2019,2648.73,0
UTILITY,JAMMU & KASHMIR,CENTRAL,HYDRO,NON-RENEWABLE,2019,11497.22,0
UTILITY,JAMMU & KASHMIR,STATE,HYDRO,NON-RENEWABLE,2019,5044.36,0
UTILITY,PUNJAB,CENTRAL,HYDRO,NON-RENEWABLE,2019,1208.97,0
UTILITY,PUNJAB,PRIVATE,COAL,NON-RENEWABLE,2019,22209.12,64.68
UTILITY,PUNJAB,STATE,COAL,NON-RENEWABLE,2019,4155.14,22.37
UTILITY,PUNJAB,STATE,HYDRO,NON-RENEWABLE,2019,3126.43,0
UTILITY,RAJASTHAN,CENTRAL,COAL,NON-RENEWABLE,2019,1357.1,61.97
UTILITY,RAJASTHAN,CENTRAL,NATURAL GAS,NON-RENEWABLE,2019,550.65,0
UTILITY,RAJASTHAN,CENTRAL,NUCLEAR,NON-RENEWABLE,2019,8034.28,77.73
UTILITY,RAJASTHAN,PRIVATE,COAL,NON-RENEWABLE,2019,7599.26,68.01
UTILITY,RAJASTHAN,PRIVATE,COAL,NON-RENEWABLE,2019,6700.1,0
UTILITY,RAJASTHAN,STATE,COAL,NON-RENEWABLE,2019,31019.46,61.43
UTILITY,RAJASTHAN,STATE,HYDRO,NON-RENEWABLE,2019,698.4,0
UTILITY,RAJASTHAN,STATE,NATURAL GAS,NON-RENEWABLE,2019,1019.01,0
UTILITY,UTTAR PRADESH,CENTRAL,COAL,NON-RENEWABLE,2019,57700.96,78.26
UTILITY,UTTAR PRADESH,CENTRAL,NATURAL GAS,NON-RENEWABLE,2019,2206.47,0
UTILITY,UTTAR PRADESH,CENTRAL,NUCLEAR,NON-RENEWABLE,2019,3161.89,82.03
UTILITY,UTTAR PRADESH,PRIVATE,COAL,NON-RENEWABLE,2019,26617.83,44.62
UTILITY,UTTAR PRADESH,STATE,COAL,NON-RENEWABLE,2019,31908.89,66.6
UTILITY,UTTAR PRADESH,STATE,HYDRO,NON-RENEWABLE,2019,1176.36,0
UTILITY,UTTARAKHAND,CENTRAL,HYDRO,NON-RENEWABLE,2019,5955.02,0
UTILITY,UTTARAKHAND,PRIVATE,HYDRO,NON-RENEWABLE,2019,3307.33,0
UTILITY,UTTARAKHAND,PRIVATE,NATURAL GAS,NON-RENEWABLE,2019,1254.24,0
UTILITY,UTTARAKHAND,STATE,HYDRO,NON-RENEWABLE,2019,4478.77,0
UTILITY,CHHATTISGARH,CENTRAL,COAL,NON-RENEWABLE,2019,47679.68,89.03
UTILITY,CHHATTISGARH,PRIVATE,COAL,NON-RENEWABLE,2019,46532.12,45.12
UTILITY,CHHATTISGARH,STATE,COAL,NON-RENEWABLE,2019,21259.45,73.99
UTILITY,CHHATTISGARH,STATE,HYDRO,NON-RENEWABLE,2019,243.08,0
UTILITY,GUJARAT,CENTRAL,NATURAL GAS,NON-RENEWABLE,2019,4073.3,0
UTILITY,GUJARAT,CENTRAL,NUCLEAR,NON-RENEWABLE,2019,999.93,25.94
UTILITY,GUJARAT,PRIVATE,COAL,NON-RENEWABLE,2019,57059.07,75.35
UTILITY,GUJARAT,PRIVATE,NATURAL GAS,NON-RENEWABLE,2019,6734.98,0
UTILITY,GUJARAT,STATE,COAL,NON-RENEWABLE,2019,24692.81,64.74
UTILITY,GUJARAT,STATE,HYDRO,NON-RENEWABLE,2019,1042.81,0
UTILITY,GUJARAT,STATE,NATURAL GAS,NON-RENEWABLE,2019,1988.45,0
UTILITY,MADHYA PRADESH,CENTRAL,COAL,NON-RENEWABLE,2019,37539,90.03
UTILITY,MADHYA PRADESH,CENTRAL,HYDRO,NON-RENEWABLE,2019,1920.83,0
UTILITY,MADHYA PRADESH,PRIVATE,COAL,NON-RENEWABLE,2019,55198.96,73.92
UTILITY,MADHYA PRADESH,STATE,COAL,NON-RENEWABLE,2019,25543.14,67.27
UTILITY,MADHYA PRADESH,STATE,HYDRO,NON-RENEWABLE,2019,1475.84,0
UTILITY,MAHARASHTRA,CENTRAL,COAL,NON-RENEWABLE,2019,13661.8,52.33
UTILITY,MAHARASHTRA,CENTRAL,NATURAL GAS,NON-RENEWABLE,2019,4465.63,0
UTILITY,MAHARASHTRA,CENTRAL,NUCLEAR,NON-RENEWABLE,2019,10766.42,87.79
UTILITY,MAHARASHTRA,PRIVATE,COAL,NON-RENEWABLE,2019,52933.84,55.59
UTILITY,MAHARASHTRA,PRIVATE,HYDRO,NON-RENEWABLE,2019,56.44,0
UTILITY,MAHARASHTRA,PRIVATE,HYDRO,NON-RENEWABLE,2019,1568.18,0
